City ->;Prague;;;Horsham;;;Arkelstorp;;;Jönköping;;;Östersund;;
Date;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather;LowTempC;HighTempC;Weather

2014/04/17;-1;12;Fair;2;18;Clear;5;8;n/a;2;13;n/a;2;7;Light Drizzle
2014/04/18;2;9;Fair;6;13;Fair;6;8;Light Rain;1;9;Light Rain;1;7;Cloudy
2014/04/19;2;20;Fair;2;13;Clear;5;14;n/a;-2;15;n/a;0;11;n/a
2014/04/20;8;18;Fair;6;13;Cloudy;7;13;n/a;-2;16;n/a;4;12;Cloudy
2014/04/21;5;17;Fair;2;18;Clear;8;11;n/a;0;18;n/a;4;14;Partly Cloudy
2014/04/22;7;18;Fair;8;15;Light Rain;8;13;n/a;7;17;Partly Cloudy;0;9;Mostly Cloudy
2014/04/23;8;20;Fair;5;17;Fair;6;9;n/a;3;13;Partly Cloudy;-2;9;n/a
2014/04/24;7;20;Clear;9;18;Cloudy;4;9;n/a;1;14;Fair;1;13;n/a
2014/04/25;10;20;Clear;7;12;Clear;6;9;n/a;0;14;Partly Cloudy;2;15;n/a
2014/04/26;9;21;Clear;8;14;Fair;6;12;n/a;-3;16;n/a;3;15;n/a
2014/04/27;9;21;Clear;8;14;Clear;7;13;n/a;-2;18;n/a;3;16;n/a
2014/04/28;11;20;Clear;6;18;Partly Cloudy;6;13;n/a;-1;21;n/a;3;10;n/a
2014/04/29;10;18;Cloudy;6;17;Partly Cloudy;7;16;n/a;6;21;n/a;0;7;Cloudy
2014/04/30;8;20;Clear;6;18;Fog;6;10;n/a;1;13;Partly Cloudy;-1;2;n/a
2014/05/01;7;21;Clear;8;14;Mostly Cloudy;6;11;Mist;-3;7;Mostly Cloudy;-2;5;Mostly Cloudy
2014/05/02;4;19;Clear;6;12;Mostly Cloudy;4;9;n/a;-6;9;n/a;-1;6;Partly Cloudy
2014/05/03;4;8;Showers in the Vicinity;2;13;Clear;6;11;n/a;-1;-1;Fair;-1;6;n/a
2014/05/04;3;12;Clear;2;15;Clear;6;12;n/a;-2;8;Fair;-1;5;Mostly Cloudy
2014/05/05;1;13;Clear;1;18;Clear;6;9;n/a;-4;11;Fair;-3;7;n/a
2014/05/06;3;21;Clear;9;17;Clear;7;8;n/a;4;6;Fair;0;5;Partly Cloudy
2014/05/07;10;16;Fair;9;16;Fair;7;10;n/a;4;7;Partly Cloudy;-1;4;Unknown Precipitation
2014/05/08;8;18;Clear;11;15;Cloudy;8;11;Mist;6;9;Partly Cloudy;-1;9;Light Snow
2014/05/09;12;21;Clear;10;17;Partly Cloudy;8;12;Light Rain;6;14;Partly Cloudy;1;4;Partly Cloudy
2014/05/10;9;18;Clear;9;16;Partly Cloudy;8;12;Mist;3;12;Mostly Cloudy;2;8;Mostly Cloudy
2014/05/11;9;16;Light Rain;8;15;Partly Cloudy;8;12;Rain Shower;4;12;Partly Cloudy;3;9;Partly Cloudy
2014/05/12;8;16;Clear;7;14;Partly Cloudy;9;11;n/a;7;12;Partly Cloudy;5;12;Fair
2014/05/13;8;14;Clear;6;16;Clear;9;11;n/a;6;11;Fog;2;10;n/a
2014/05/14;6;12;Mostly Cloudy;4;19;Clear;7;11;n/a;3;14;Mostly Cloudy;1;7;Cloudy
2014/05/15;5;14;Clear;4;19;Fair;6;12;Mist;2;15;Cloudy;1;10;n/a
2014/05/16;8;12;Light Rain;6;23;Clear;10;16;n/a;3;21;n/a;7;16;n/a
2014/05/17;8;12;Light Rain;6;23;Clear;10;16;n/a;3;21;n/a;7;16;n/a
2014/05/18;9;13;Cloudy;9;23;Fair;11;13;n/a;4;17;n/a;4;22;Mostly Cloudy
2014/05/19;9;22;Mostly Cloudy;9;25;Clear;10;13;Fog;4;17;Fog;12;20;Fair
2014/05/20;11;24;Fair;11;21;Partly Cloudy;9;17;n/a;9;18;Fair;11;17;Fair
2014/05/21;11;26;Fair;7;18;Fair;12;16;n/a;4;24;Fair;10;22;Fair
2014/05/22;14;28;Fair;11;17;Mostly Cloudy;13;17;n/a;14;27;Fair;14;23;Fair
2014/05/23;15;27;Light Rain with Thunder;11;17;Sunny;14;16;n/a;16;27;Fair;13;25;Partly Cloudy
2014/05/24;13;21;Fair;10;16;Partly Cloudy;14;18;Mist;12;19;n/a;12;15;Fog
2014/05/25;10;22;Fair;7;17;Sunny;13;19;n/a;10;21;Fair;6;12;Light Rain
2014/05/26;13;23;Light Rain;6;13;Light Rain;14;19;n/a;9;22;Fair;5;7;Partly Cloudy
